Year,Marks,Percentile,Total_Candidates
2009,4,1.629296,800000
2009,6,2.532306,800000
2009,13,5.4582925,800000
2009,15,5.580853,800000
2009,22,8.539562,800000
2009,23,9.202679,800000
2009,26,10.245071,800000
2009,32,12.566781,800000
2009,33,13.412271,800000
2009,36,14.18484,800000
2009,42,16.6288755,800000
2009,45,17.751782,800000
2009,53,21.037615,800000
2009,54,21.423203,800000
2009,56,22.592436,800000
2009,64,25.3121815,800000
2009,65,25.852569,800000
2009,72,28.572132,800000
2009,74,29.527108,800000
2009,75,29.856298,800000
2009,84,55.524345,800000
2009,85,55.930499499999996,800000
2009,95,58.054698,800000
2009,96,57.8835475,800000
2009,104,70.694785,800000
2009,106,70.6343195,800000
2009,112,71.314356,800000
2009,115,72.282566,800000
2009,116,71.701719,800000
2009,123,79.930702,800000
2009,124,80.422733,800000
2009,134,81.461243,800000
2009,142,82.323298,800000
2009,143,81.89541,800000
2009,146,82.829606,800000
2009,153,89.750869,800000
2009,154,90.1121105,800000
2009,162,90.812245,800000
2009,164,90.328842,800000
2009,165,90.468488,800000
2009,172,90.786274,800000
2009,175,91.167696,800000
2009,176,90.744551,800000
2009,183,95.3274735,800000
2009,186,95.038677,800000
2009,193,95.49729049999999,800000
2009,195,94.920227,800000
2009,203,97.1427,800000
2009,205,96.936711,800000
2009,206,97.619585,800000
2009,214,97.75932,800000
2009,215,97.2137065,800000
2009,223,98.355614,800000
2009,225,98.525152,800000
2009,226,98.332894,800000
2009,233,99.169886,800000
2009,235,98.818288,800000
2009,236,98.722499,800000
2009,244,99.029201,800000
2009,245,99.017415,800000
2009,253,99.085666,800000
2009,254,99.663853,800000
2009,255,99.431362,800000
2009,263,99.693756,800000
2009,265,99.218062,800000
2009,266,99.825482,800000
2009,273,99.74041249999999,800000
2009,274,99.332584,800000
2009,284,99.8099875,800000
2009,285,99.692867,800000
2009,295,100.0,800000
2009,296,100.0,800000
2009,297,100.0,800000
2010,2,0.64028,850000
2010,4,1.5995884999999999,850000
2010,16,6.525471,850000
2010,22,8.724752,850000
2010,32,12.9629,850000
2010,33,12.698951,850000
2010,36,13.952073,850000
2010,43,17.1819,850000
2010,44,17.6818785,850000
2010,54,21.69423,850000
2010,55,21.588745,850000
2010,56,22.04958,850000
2010,62,25.078269,850000
2010,65,25.663821,850000
2010,66,26.304465,850000
2010,73,28.6721,850000
2010,74,29.167861,850000
2010,75,29.478835,850000
2010,84,55.554198,850000
2010,85,55.842115,850000
2010,86,56.276834,850000
2010,92,57.113694,850000
2010,95,57.7780405,850000
2010,102,70.221014,850000
2010,103,70.544363,850000
2010,105,70.495092,850000
2010,112,71.632577,850000
2010,116,71.65251,850000
2010,123,80.254407,850000
2010,132,80.854522,850000
2010,133,81.380809,850000
2010,144,82.715532,850000
2010,145,82.129449,850000
2010,146,82.125711,850000
2010,152,89.962585,850000
2010,154,90.247359,850000
